"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"AME-542","Theory of Plates","P","3.0 units","Lecture","29763R","048","6:40-9:20pm","Tuesday","20","4","0","Abdel-Salam Niazy","OHE100C"
"","","","","Lecture","29780D","034","6:40-9:20pm","Tuesday","10","1","0","Abdel-Salam Niazy","DEN@Viterbi"
"AME-544","Computer Control of Mechanical Systems","P","3.0 units","Lecture","28897R","048","6:30-9:10pm","Tuesday","30","11","0","Serkan Kalender","VHE210"
"AME-545","Modeling and Control of Distributed Dynamic Systems","P","3.0 units","Lecture","28900R","048","5:00-6:20pm","Tue, Thu","30","3","0","Bingen Yang","OHE100C"
"","","","","Lecture","29070D","034","5:00-6:20pm","Tue, Thu","20","0","0","Bingen Yang","DEN@Viterbi"
"AME-549","Systems Architecting","","3.0 units","Lecture","32319D","034","3:30-6:20pm","Monday","20","3","0","Azad Madni","DEN@Viterbi"
"","","","","Lecture","32349D","048","3:30-6:20pm","Monday","15","4","0","Azad Madni","OHE120"
"AME-550b","Seminar in Aerospace and Mechanical Engineering","PMC","1.0 unit","Lecture","28910D","048","3:30-4:50pm","Wednesday","58","0","0","Paul Newton","SSL150"
"AME-551","Mechanical Behavior of Engineering Materials","","3.0 units","Lecture","32162R","048","9:30-10:50am","Tue, Thu","60","60","0","Michael Kassner","OHE136"
"","","","","Lecture","32163D","034","9:30-10:50am","Tue, Thu","20","8","0","Michael Kassner","DEN@Viterbi"
"AME-552","Nonlinear Control Systems","P","3.0 units","Lecture","28912R","048","6:40-9:20pm","Thursday","30","6","0","Henryk Flashner","OHE122"
"","","","","Lecture","29082D","034","6:40-9:20pm","Thursday","20","5","0","Henryk Flashner","DEN@Viterbi"
"AME-553a","Digital Control Systems","P","3.0 units","Lecture","30692D","034","12:30-1:50pm","Tue, Thu","30","2","0","Fariba Ariaei","DEN@Viterbi"
"","","","","Lecture","30694R","048","12:30-1:50pm","Tue, Thu","40","5","0","Fariba Ariaei","OHE100D"
"AME-560","Fatigue and Fracture","","3.0 units","Lecture","28913R","048","12:30-1:50pm","Tue, Thu","40","40","0","Michael Hahn","OHE100B"
"","","","","Lecture","29083D","034","12:30-1:50pm","Tue, Thu","25","13","0","Michael Hahn","DEN@Viterbi"
"AME-577","Survey of Energy and Power for a Sustainable Future","","3.0 units","Lecture","28914R","048","12:30-1:50pm","Mon, Wed","37","12","0","John Hall","OHE100C"
"","","","","Lecture","29084D","034","12:30-1:50pm","Mon, Wed","15","5","0","John Hall","DEN@Viterbi"
"AME-590","Directed Research","","1.0-12.0 units","Lecture","28950D","048","TBA","TBA","30","0","0","Geoffrey Spedding","OFFICE"
"AME-594a","Master's Thesis","C","2.0 units","Lecture","28951D","048","TBA","TBA","15","0","0","Geoffrey Spedding","OFFICE"
"AME-594b","Master's Thesis","PC","2.0 units","Lecture","28952D","048","TBA","TBA","15","0","0","Geoffrey Spedding","OFFICE"
"AME-594z","Master's Thesis","PC","0.0 units","Lecture","28953D","048","TBA","TBA","15","0","0","Geoffrey Spedding","OFFICE"
"AME-599","Special Topics","","2.0-4.0 units, max 9"
"","Advanced Mechanics of Composite Materials for Modern Structures","","3.0","Lecture","28955R","048","5:00-7:50pm","Monday","30","1","0","Vinay Goyal","VHE210"
"","Analysis and Design of Flight Vehicle Structures Part II","","3.0","Lecture","28956R","048","5:00-7:50pm","Tuesday","30","1","0","Vinay Goyal","GFS223"
"","Multidisciplinary Design Analysis and Optimization for Engineers","","3.0","Lecture","28957R","048","6:00-8:40pm","Wednesday","30","2","0","",""
"AME-630","Transition to Chaos in Dynamical Systems","P","3.0 units","Lecture","28960R","048","2:00-3:20pm","Mon, Wed","30","2","0","Paul Newton","VHE206"
"AME-651","Statistical Theories of Turbulence","","3.0 units","Lecture","28961R","048","2:00-3:20pm","Mon, Wed","20","8","0","Ivan Bermejo-Moreno","VHE214"
"AME-790","Research","","1.0-12.0 units","Lecture","28990D","048","TBA","TBA","45","2","0","Geoffrey Spedding","OFFICE"
"AME-794a","Doctoral Dissertation","C","2.0 units","Lecture","28991D","048","TBA","TBA","35","0","0","Geoffrey Spedding","OFFICE"
"AME-794b","Doctoral Dissertation","PC","2.0 units","Lecture","28992D","048","TBA","TBA","35","4","0","Geoffrey Spedding","OFFICE"
"AME-794c","Doctoral Dissertation","PC","2.0 units","Lecture","28993D","048","TBA","TBA","35","3","0","Geoffrey Spedding","OFFICE"
"AME-794d","Doctoral Dissertation","PC","2.0 units","Lecture","28994D","048","TBA","TBA","35","4","0","Geoffrey Spedding","OFFICE"
"AME-794z","Doctoral Dissertation","PC","0.0 units","Lecture","28995D","048","TBA","TBA","35","4","0","Geoffrey Spedding","OFFICE"
