"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Discussion","30359R","001","11:00-11:50am","Friday","75","0","0","","GFS116"
"","","","","Discussion","30360R","001","12:00-12:50pm","Friday","75","1","0","","MHP106"
"","","","","Lecture","29946D","014","11:00-12:20pm","Tue, Thu","20","1","0","","DEN@Viterbi"
"","","","","Discussion","30356R","014","10:00-10:50am","Friday","20","1","0","","DEN@Viterbi"
"CSCI-404","Capstone: Creating Your High-Tech Startup","P","4.0 units","Lecture","30028D","001","11:00-1:50pm","Thursday","25","20","0","Ashish Soni","OFFICE"
"CSCI-420","Computer Graphics","P","4.0 units","Lecture","29979R","001","2:00-3:50pm","Mon, Wed","72","39","0","Jernej Barbic","MHP105"
"","","","","Discussion","30078R","001","TBA","TBA","70","39","0","","OFFICE"
"CSCI-423","Native Console Multiplayer Game Development","P","4.0 units","Lecture","30102R","001","7:00-10:20pm","Tuesday","50","42","0","Artjoms Kovalovs","EGG108"
"CSCI-424","Game Engine Tool Development","P","4.0 units","Lecture","30296R","001","7:00-10:20pm","Monday","50","1","0","Artjoms Kovalovs","EGG108"
"CSCI-430","Introduction to Computer and Network Security","P","4.0 units","Lecture","30123R","001","4:00-5:50pm","Tue, Thu","40","35","0","Jelena Mirkovic","GFS207"
"CSCI-445L","Introduction to Robotics","PC","4.0 units","Lecture","30024R","001","2:00-4:50pm","Monday","30","18","0","Nora Ayanian","THH112"
"","","","","Lab","29910R","001","6:00-8:50pm","Tuesday","15","13","0","","VHE205"
"","","","","Lab","29911R","001","6:00-8:50pm","Thursday","15","5","0","","VHE205"
"CSCI-450","Introduction to Computer Networks","C","3.0 units","Lecture","30564R","001","11:00-12:20pm","Tue, Thu","40","6","0","Genevieve Bartlett","SSL150"
"","","","","Discussion","30566R","001","5:00-5:50pm","Wednesday","30","6","0","Genevieve Bartlett","VHE217"
"","","","","Lecture","30560R","001","2:00-3:20pm","Tue, Thu","30","8","0","Leana Golubchik","DRB146"
"","","","","Discussion","30562R","001","12:00-12:50pm","Friday","30","8","0","Leana Golubchik","KAP140"
"","","","","Lecture","30568D","014","12:30-1:50pm","Tue, Thu","20","1","0","Joe Touch","DEN@Viterbi"
"","","","","Discussion","30570R","014","11:00-11:50am","Friday","20","1","0","Joe Touch","DEN@Viterbi"
"","","","","Lecture","30828R","001","12:30-1:50pm","Tue, Thu","30","30","0","Joe Touch","OHE136"
"","","","","Discussion","30829R","001","11:00-11:50am","Friday","30","30","0","Joe Touch","OHE136"
"CSCI-452","Parallel and Distributed Computation","P","3.0 units","Lecture","30661D","001","2:00-3:20pm","Mon, Wed","40","40","0","Viktor Prasanna","VKC203"
"","","","","Discussion","31111R","001","2:00-2:50pm","Friday","40","40","0","","VKC203"
"CSCI-454L","Introduction to System-on-Chip","P","4.0 units","Lecture","31297R","001","10:00-11:50am","Mon, Wed","36","24","0","Paul Bogdan","VHE205"
"","","","","Lab","31296R","001","9:00-11:50am","Friday","36","24","0","","VHE205"
"CSCI-455x","Introduction to Programming Systems Design","","4.0 units","Lecture","30327D","001","8:00-9:20am","Tue, Thu","120","5","0","Claire Bono","SGM124"
"","","","","Lab","29919R","001","5:00-6:50pm","Thursday","25","3","0","","SAL126"
"","","","","Lab","29923R","001","10:00-11:50am","Friday","25","0","0","","SAL109"
"","","","","Lab","30329R","001","3:00-4:50pm","Thursday","25","0","0","","SAL126"
"","","","","Lab","30384R","001","2:00-3:50pm","Friday","25","2","0","","SAL127"
"","","","","Lecture","29934D","014","8:00-9:20am","Tue, Thu","15","0","0","","DEN@Viterbi"
"","","","","Lab","30023D","014","TBA","TBA","15","0","0","","DEN@Viterbi"
"CSCI-457","Computer Systems Organization","P","3.0 units","Lecture","30595D","014","2:00-3:20pm","Mon, Wed","20","0","0","Gandhi Puvvada","DEN@Viterbi"
"","","","","Discussion","30594R","014","12:00-12:50pm","Friday","20","1","0","","DEN@Viterbi"
"","","","","Lecture","30478R","001","4:00-5:20pm","Mon, Wed","60","21","0","Gandhi Puvvada","GFS118"
