"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","30700D","034","11:00-12:20pm","Tue, Thu","20","1","0","Peter Beerel","DEN@Viterbi"
"","","","","Discussion","30701R","034","12:00-12:50pm","Friday","20","1","0","","DEN@Viterbi"
"EE-553","Computational Solution of Optimization Problems","P","3.0 units","Lecture","31266R","001","TBA","TBA","40","0","0","","OFFICEOFFICE"
"EE-555","Broadband Network Architectures","P","3.0 units","Lecture","31334D","048","12:30-1:50pm","Tue, Thu","50","43","0","Ali Zahid","GFS118"
"","","","","Discussion","31335R","048","TBA","TBA","50","41","0","","OFFICE"
"","","","","Lecture","30500D","048","7:30-8:50am","Tue, Thu","46","45","0","Ali Zahid","OHE132"
"","","","","Lecture","30712D","034","7:30-8:50am","Tue, Thu","20","0","0","Ali Zahid","DEN@Viterbi"
"","","","","Discussion","30501R","048","8:30-9:20am","Monday","46","46","0","","OHE136"
"","","","","Discussion","30767R","034","8:30-9:20am","Monday","20","1","0","","DEN@Viterbi"
"EE-557","Computer Systems Architecture","P","3.0 units","Lecture","30820R","048","3:30-4:50pm","Mon, Wed","75","27","0","Michel Dubois","OHE122"
"","","","","Lecture","30823D","048","3:30-4:50pm","Tue, Thu","55","55","0","Murali Annavaram","THH116"
"","","","","Discussion","30722R","048","8:30-9:20am","Wednesday","75","32","0","","OHE122"
"","","","","Discussion","30825R","048","12:00-12:50pm","Friday","53","49","0","","SOS B46"
"","","","","Lecture","30716D","034","3:30-4:50pm","Mon, Wed","20","2","0","Michel Dubois","DEN@Viterbi"
"","","","","Discussion","30718R","034","8:30-9:20am","Wednesday","20","2","0","","DEN@Viterbi"
"EE-558","Optical Fiber Communication Systems","","3.0 units","Lecture","30724D","034","5:30-8:20pm","Friday","20","1","0","Sabino Piazzolla","DEN@Viterbi"
"","","","","Lecture","30726R","048","5:30-8:20pm","Friday","40","8","0","Sabino Piazzolla","OHE132"
